# Time; FREQ 2 [BUS 2 18.000]; FREQ 3 [BUS 3 13.800]
   -0.016667;    60.000000;    60.000000
   -0.008333;    60.000000;    60.000000
    0.000000;    60.000000;    60.000000
    0.008333;    60.000000;    60.000000
    0.016667;    60.000000;    60.000000
    0.025000;    60.000000;    60.000000
    0.033333;    60.000000;    60.000000
    0.041667;    60.000000;    60.000000
    0.050000;    60.000000;    60.000000
    0.058333;    60.000000;    60.000000
    0.066667;    60.000000;    60.000000
    0.075000;    60.000000;    60.000000
    0.083333;    60.000000;    60.000000
    0.091667;    60.000000;    60.000000
    0.100000;    59.999999;    60.000000
    0.108333;    59.999999;    60.000000
    0.116667;    59.999999;    60.000000
    0.125000;    59.999999;    60.000000
    0.133333;    59.999999;    60.000000
    0.141667;    59.999999;    59.999999
    0.150000;    59.999999;    59.999999
    0.158333;    59.999999;    59.999999
    0.166667;    59.999999;    59.999999
    0.175000;    59.999998;    59.999999
    0.183333;    59.999998;    59.999999
    0.191667;    59.999998;    59.999999
    0.200000;    59.999998;    59.999999
    0.208333;    59.999998;    59.999998
    0.216667;    59.999997;    59.999998
    0.225000;    59.999997;    59.999998
    0.233333;    59.999997;    59.999998
    0.241667;    59.999997;    59.999998
    0.250000;    59.999997;    59.999997
    0.258333;    59.999996;    59.999997
    0.266667;    59.999996;    59.999997
    0.275000;    59.999996;    59.999997
    0.283333;    59.999996;    59.999996
    0.291667;    59.999995;    59.999996
    0.300000;    59.999995;    59.999996
    0.308333;    59.999995;    59.999995
    0.316667;    59.999995;    59.999995
    0.325000;    59.999994;    59.999995
    0.333333;    59.999994;    59.999994
    0.341667;    59.999994;    59.999994
    0.350000;    59.999993;    59.999994
    0.358333;    59.999993;    59.999993
    0.366667;    59.999993;    59.999993
    0.375000;    59.999992;    59.999993
    0.383333;    59.999992;    59.999992
    0.391667;    59.999992;    59.999992
    0.400000;    59.999991;    59.999992
    0.408333;    59.999991;    59.999991
    0.416667;    59.999991;    59.999991
    0.425000;    59.999990;    59.999990
    0.433333;    59.999990;    59.999990
    0.441667;    59.999989;    59.999990
    0.450000;    59.999989;    59.999989
    0.458333;    59.999989;    59.999989
    0.466667;    59.999988;    59.999988
    0.475000;    59.999988;    59.999988
    0.483333;    59.999987;    59.999988
    0.491667;    59.999987;    59.999987
    0.500000;    59.999987;    59.999987
    0.508333;    59.999986;    59.999986
    0.516667;    59.999986;    59.999986
    0.525000;    59.999985;    59.999986
    0.533333;    59.999985;    59.999985
    0.541667;    59.999984;    59.999985
    0.550000;    59.999984;    59.999984
    0.558333;    59.999984;    59.999984
    0.566666;    59.999983;    59.999983
    0.575000;    59.999983;    59.999983
    0.583333;    59.999982;    59.999982
    0.591666;    59.999982;    59.999982
    0.600000;    59.999981;    59.999982
    0.608333;    59.999981;    59.999981
    0.616666;    59.999980;    59.999981
    0.625000;    59.999980;    59.999980
    0.633333;    59.999979;    59.999980
    0.641666;    59.999979;    59.999979
    0.650000;    59.999978;    59.999979
    0.658333;    59.999978;    59.999978
    0.666666;    59.999977;    59.999978
    0.675000;    59.999977;    59.999977
    0.683333;    59.999976;    59.999977
    0.691666;    59.999976;    59.999976
    0.700000;    59.999975;    59.999976
    0.708333;    59.999975;    59.999975
    0.716666;    59.999974;    59.999975
    0.725000;    59.999974;    59.999974
    0.733333;    59.999973;    59.999973
    0.741666;    59.999972;    59.999973
    0.750000;    59.999972;    59.999972
    0.758333;    59.999971;    59.999972
    0.766666;    59.999971;    59.999971
    0.775000;    59.999970;    59.999971
    0.783333;    59.999970;    59.999970
    0.791666;    59.999969;    59.999970
    0.800000;    59.999969;    59.999969
    0.808333;    59.999968;    59.999968
    0.816666;    59.999968;    59.999968
    0.825000;    59.999967;    59.999967
    0.833333;    59.999966;    59.999967
    0.841666;    59.999966;    59.999966
    0.850000;    59.999965;    59.999966
    0.858333;    59.999965;    59.999965
    0.866666;    59.999964;    59.999964
    0.875000;    59.999964;    59.999964
    0.883333;    59.999963;    59.999963
    0.891666;    59.999962;    59.999963
    0.899999;    59.999962;    59.999962
