# time;VOLT 2 [BUS 2 18.000]; VOLT 3 [BUS 3 13.800]; VOLT 2 [BUS 2 18.000]; VOLT 3 [BUS 3 13.800]; VOLT 7 [BUS 7 230.00]; VOLT 8 [BUS 8 230.00]; VOLT 9 [BUS 9 230.00]; VOLT 10 [10 34.500]; VOLT 11 [11 138.00]; VOLT 12 [12 34.500]
   -0.016667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
   -0.008333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.000000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.008333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.016667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.025000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.033333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.041667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.050000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.058333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.066667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007226;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.075000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.083333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.091667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.100000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.108333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060424;     1.059276;     1.028398;     1.059276
    0.116667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.125000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.133333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.141667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.150000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.158333;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.166667;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.175000;     0.969942;     1.074813;     0.969942;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
    0.183333;     0.969941;     1.074813;     0.969941;     1.074813;     1.007225;     1.028398;     1.060425;     1.059276;     1.028398;     1.059276
