C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     21             22      
        Time(s) VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       18.000]        13.800]
     -0.0166667       0.969942        1.07481
    -0.00833333       0.969942        1.07481
              0       0.969942        1.07481
     0.00833333       0.969942        1.07481
      0.0166667       0.969942        1.07481
          0.025       0.969942        1.07481
      0.0333333       0.969942        1.07481
      0.0416667       0.969942        1.07481
           0.05       0.969942        1.07481
      0.0583333       0.969942        1.07481
      0.0666667       0.969942        1.07481
          0.075       0.969942        1.07481
      0.0833333       0.969942        1.07481
      0.0916667       0.969942        1.07481
            0.1       0.969942        1.07481
       0.108333       0.969942        1.07481
       0.116667       0.969942        1.07481
          0.125       0.969942        1.07481
       0.133333       0.969942        1.07481
       0.141667       0.969942        1.07481
           0.15       0.969942        1.07481
       0.158333       0.969942        1.07481
       0.166667       0.969942        1.07481
          0.175       0.969942        1.07481
       0.183333       0.969941        1.07481
       0.191667       0.969941        1.07481
            0.2       0.969941        1.07481
       0.208333       0.969941        1.07481
       0.216667       0.969941        1.07481
          0.225       0.969941        1.07481
       0.233333       0.969941        1.07481
       0.241667       0.969941        1.07481
           0.25       0.969941        1.07481
       0.258333       0.969941        1.07481
       0.266667       0.969941        1.07481
          0.275       0.969941        1.07481
       0.283333       0.969941        1.07481
       0.291667       0.969941        1.07481
            0.3       0.969941        1.07481
       0.308333       0.969941        1.07481
       0.316667       0.969941        1.07481
          0.325       0.969941        1.07481
       0.333333        0.96994        1.07481
       0.341667        0.96994        1.07481
           0.35        0.96994        1.07481
       0.358333        0.96994        1.07481
       0.366667        0.96994        1.07481
          0.375       0.969939        1.07481
       0.383333       0.969939        1.07481
       0.391667       0.969939        1.07481
            0.4       0.969938        1.07481
       0.408333       0.969938        1.07481
       0.416667       0.969938        1.07481
          0.425       0.969937        1.07481
       0.433333       0.969936        1.07481
       0.441667       0.969936         1.0748
           0.45       0.969935         1.0748
       0.458333       0.969934         1.0748
       0.466667       0.969933         1.0748
          0.475       0.969933         1.0748
       0.483333       0.969932         1.0748
       0.491667       0.969931         1.0748
            0.5       0.969929         1.0748
       0.508333       0.969928         1.0748
       0.516667       0.969927        1.07479
          0.525       0.969926        1.07479
       0.533333       0.969924        1.07479
       0.541667       0.969922        1.07479
           0.55       0.969921        1.07479
       0.558333       0.969919        1.07479
       0.566666       0.969917        1.07478
          0.575       0.969915        1.07478
       0.583333       0.969913        1.07478
       0.591666       0.969911        1.07478
            0.6       0.969909        1.07478
       0.608333       0.969906        1.07477
       0.616666       0.969904        1.07477
          0.625       0.969901        1.07477
       0.633333       0.969899        1.07477
       0.641666       0.969896        1.07476
           0.65       0.969893        1.07476
       0.658333        0.96989        1.07476
       0.666666       0.969887        1.07476
          0.675       0.969883        1.07475
       0.683333        0.96988        1.07475
       0.691666       0.969876        1.07475
            0.7       0.969873        1.07474
       0.708333       0.969869        1.07474
       0.716666       0.969865        1.07474
          0.725       0.969861        1.07473
       0.733333       0.969857        1.07473
       0.741666       0.969853        1.07473
           0.75       0.969848        1.07472
       0.758333       0.969843        1.07472
       0.766666       0.969839        1.07471
          0.775       0.969834        1.07471
       0.783333       0.969829        1.07471
       0.791666       0.969824         1.0747
            0.8       0.969819         1.0747
       0.808333       0.969814        1.07469
       0.816666       0.969809        1.07469
          0.825       0.969804        1.07469
       0.833333       0.969798        1.07468
       0.841666       0.969792        1.07468
           0.85       0.969787        1.07467
       0.858333       0.969781        1.07467
       0.866666       0.969775        1.07466
          0.875       0.969769        1.07466
       0.883333       0.969763        1.07465
       0.891666       0.969757        1.07465
       0.899999       0.969751        1.07464
       0.908333       0.969744        1.07464
       0.916666       0.969738        1.07463
       0.924999       0.969731        1.07463
       0.933333       0.969724        1.07462
       0.941666       0.969718        1.07461
       0.949999       0.969711        1.07461
       0.958333       0.969704         1.0746
       0.966666       0.969697         1.0746
       0.974999        0.96969        1.07459
       0.983333       0.969682        1.07459
       0.991666       0.969675        1.07458
       0.999999       0.969668        1.07457
        1.00833        0.96966        1.07457
        1.01667       0.969652        1.07456
          1.025       0.969645        1.07456
        1.03333       0.969637        1.07455
        1.04167       0.969629        1.07454
           1.05       0.969621        1.07454
        1.05833       0.969613        1.07453
        1.06667       0.969605        1.07452
          1.075       0.969597        1.07452
        1.08333       0.969589        1.07451
        1.09167        0.96958         1.0745
            1.1       0.969572         1.0745
        1.10833       0.969563        1.07449
        1.11667       0.969555        1.07448
          1.125       0.969546        1.07448
        1.13333       0.969537        1.07447
        1.14167       0.969529        1.07446
           1.15        0.96952        1.07446
        1.15833       0.969511        1.07445
        1.16667       0.969502        1.07444
          1.175       0.969493        1.07443
        1.18333       0.969484        1.07443
        1.19167       0.969475        1.07442
            1.2       0.969465        1.07441
